iter	Passed	Remaining
0	142	141872
1	254	126798
2	372	123679
3	469	116783
4	577	114951
5	683	113206
6	781	110849
7	875	108596
8	965	106352
9	1068	105744
10	1183	106403
11	1286	105901
12	1368	103930
13	1476	103986
14	1577	103598
15	1682	103487
16	1788	103438
17	1887	102993
18	1999	103257
19	2098	102812
20	2197	102452
21	2297	102121
22	2382	101211
23	2487	101173
24	2580	100627
25	2691	100818
26	2783	100325
27	2880	99979
28	2969	99419
29	3070	99263
30	3168	99028
31	3259	98605
32	3343	97964
33	3438	97697
34	3543	97688
35	3645	97630
36	3748	97558
37	3838	97178
38	3930	96857
39	4047	97139
40	4148	97028
41	4251	96969
42	4347	96752
43	4449	96681
44	4539	96332
45	4657	96598
46	4759	96503
47	4860	96403
48	4957	96210
49	5055	96055
50	5154	95910
51	5246	95643
52	5351	95624
53	5454	95553
54	5548	95335
55	5657	95372
56	5754	95206
57	5860	95187
58	5956	94999
59	6045	94715
60	6149	94666
61	6251	94576
62	6349	94440
63	6442	94222
64	6546	94172
65	6656	94201
66	6747	93967
67	6852	93917
68	6941	93658
69	7036	93478
70	7132	93328
71	7237	93289
72	7336	93157
73	7426	92926
74	7526	92828
75	7630	92774
76	7731	92674
77	7835	92614
78	7934	92497
79	8023	92272
80	8133	92275
81	8234	92188
82	8334	92083
83	8434	91974
84	8530	91830
85	8629	91710
86	8717	91485
87	8818	91393
88	8916	91267
89	9024	91251
90	9116	91068
91	9231	91109
92	9334	91033
93	9426	90852
94	9520	90698
95	9620	90594
96	9730	90584
97	9812	90313
98	9910	90199
99	10002	90021
100	10107	89966
101	10210	89894
102	10306	89757
103	10410	89691
104	10506	89553
105	10618	89555
106	10750	89721
107	10849	89606
108	10943	89456
109	11037	89305
110	11128	89129
111	11247	89178
112	11361	89182
113	11457	89047
114	11551	88898
115	11660	88864
116	11755	88721
117	11858	88639
118	11947	88450
119	12056	88411
120	12142	88205
121	12236	88059
122	12342	88001
123	12435	87850
124	12522	87655
125	12634	87640
126	12742	87593
127	12836	87449
128	12934	87330
129	13025	87173
130	13125	87066
131	13218	86918
132	13317	86812
133	13406	86642
134	13512	86581
135	13635	86627
136	13743	86571
137	13851	86521
138	13944	86376
139	14031	86193
140	14126	86063
141	14220	85923
142	14307	85743
143	14408	85648
144	14497	85485
145	14588	85330
146	14709	85354
147	14806	85239
148	14900	85105
149	14994	84966
150	15083	84804
151	15178	84680
152	15264	84505
153	15366	84413
154	15469	84332
155	15569	84232
156	15665	84116
157	15764	84012
158	15852	83847
159	15944	83710
160	16045	83615
161	16139	83486
162	16235	83369
163	16327	83228
164	16418	83086
165	16507	82935
166	16605	82829
167	16702	82716
168	16798	82598
169	16894	82485
170	16984	82341
171	17084	82245
172	17183	82142
173	17280	82031
174	17380	81938
175	17469	81791
176	17571	81702
177	17681	81650
